,dia,pais,contaxios,mortes
776,2021-02-16,France,19374,582
777,2021-02-17,France,24507,306
778,2021-02-18,France,21402,270
779,2021-02-19,France,24105,567
780,2021-02-20,France,21425,151
781,2021-02-21,France,21619,159
782,2021-02-22,France,4646,333
783,2021-02-23,France,19299,425
784,2021-02-24,France,31230,274
785,2021-02-25,France,24549,257
786,2021-02-26,France,24984,535
787,2021-02-27,France,23440,182
788,2021-02-28,France,19952,122
789,2021-03-01,France,3964,367
790,2021-03-02,France,22857,417
791,2021-03-03,France,26079,315
792,2021-03-04,France,25279,293
793,2021-03-05,France,22967,424
794,2021-03-06,France,22610,162
795,2021-03-07,France,21825,130
796,2021-03-08,France,5327,359
797,2021-03-09,France,23029,364
798,2021-03-10,France,29627,252
799,2021-03-11,France,27166,265
800,2021-03-12,France,25038,223
801,2021-03-13,France,29650,169
802,2021-03-14,France,25925,207
803,2021-03-15,France,6241,333
804,2021-03-16,France,30002,400
805,2021-03-17,France,37638,71
806,2021-03-18,France,34954,417
807,2021-03-19,France,0,0
808,2021-03-20,France,35004,276
809,2021-03-21,France,0,0
810,2021-03-22,France,81103,657
811,2021-03-23,France,14678,287
812,2021-03-24,France,64225,227
813,2021-03-25,France,45641,225
814,2021-03-26,France,41629,895
815,2021-03-27,France,42619,190
816,2021-03-28,France,36182,124
817,2021-03-29,France,9094,360
818,2021-03-30,France,30702,381
819,2021-03-31,France,57911,283
820,2021-04-01,France,50449,304
821,2021-04-02,France,46807,327
822,2021-04-03,France,0,0
823,2021-04-04,France,80629,369
824,2021-04-05,France,10961,197
825,2021-04-06,France,8045,429
826,2021-04-07,France,0,0
827,2021-04-08,France,96842,750
828,2021-04-09,France,0,0
829,2021-04-10,France,0,0
830,2021-04-11,France,117900,696
831,2021-04-12,France,8536,385
832,2021-04-13,France,38133,333
833,2021-04-14,France,43348,297
834,2021-04-15,France,37894,294
835,2021-04-16,France,36333,331
836,2021-04-17,France,35779,189
837,2021-04-18,France,27734,128
838,2021-04-19,France,6696,447
839,2021-04-20,France,44003,373
840,2021-04-21,France,33823,326
841,2021-04-22,France,33400,277
842,2021-04-23,France,32056,332
843,2021-04-24,France,32485,216
844,2021-04-25,France,24332,144
845,2021-04-26,France,4376,377
846,2021-04-27,France,29232,340
847,2021-04-28,France,31202,312
848,2021-04-29,France,26443,306
849,2021-04-30,France,24134,290
850,2021-05-01,France,25491,192
851,2021-05-02,France,8237,86
852,2021-05-03,France,3760,311
853,2021-05-04,France,24217,254
854,2021-05-05,France,24745,242
855,2021-05-06,France,21476,219
856,2021-05-07,France,18976,251
857,2021-05-08,France,19459,160
858,2021-05-09,France,9128,115
859,2021-05-10,France,3292,292
860,2021-05-11,France,19513,249
861,2021-05-12,France,20030,164
862,2021-05-13,France,19461,131
863,2021-05-14,France,6469,171
864,2021-05-15,France,15653,112
865,2021-05-16,France,13948,81
866,2021-05-17,France,3350,196
867,2021-05-18,France,16001,215
868,2021-05-19,France,18128,134
869,2021-05-20,France,0,0
870,2021-05-21,France,0,0
871,2021-05-22,France,0,0
872,2021-05-23,France,8976,57
873,2021-05-24,France,2229,62
874,2021-05-25,France,2834,220
875,2021-05-26,France,11240,130
876,2021-05-27,France,13933,142
877,2021-05-28,France,10831,123
878,2021-05-29,France,11372,66
879,2021-05-30,France,7994,42
880,2021-05-31,France,1211,126
881,2021-06-01,France,9575,134
882,2021-06-02,France,0,0
883,2021-06-03,France,15393,148
884,2021-06-04,France,6770,87
885,2021-06-05,France,6654,57
886,2021-06-06,France,4755,18
887,2021-06-07,France,973,64
888,2021-06-08,France,5800,70
889,2021-06-09,France,4239,53
890,2021-06-10,France,4276,67
891,2021-06-11,France,3871,74
892,2021-06-12,France,3740,31
893,2021-06-13,France,2605,6
894,2021-06-14,France,684,63
895,2021-06-15,France,2953,73
896,2021-06-16,France,1690,40
897,2021-06-17,France,1851,56
898,2021-06-18,France,3170,67
899,2021-06-19,France,2624,22
900,2021-06-20,France,1815,14
901,2021-06-21,France,0,34
902,2021-06-22,France,2007,50
903,2021-06-23,France,1094,27
904,2021-06-24,France,2007,44
905,2021-06-25,France,1742,33
906,2021-06-26,France,2128,12
907,2021-06-27,France,1578,17
908,2021-06-28,France,256,44
909,2021-06-29,France,2083,44
910,2021-06-30,France,1279,12
911,2021-07-01,France,2664,29
912,2021-07-02,France,2470,23
913,2021-07-03,France,3006,17
914,2021-07-04,France,2549,9
915,2021-07-05,France,439,31
916,2021-07-06,France,2323,27
917,2021-07-07,France,3802,22
918,2021-07-08,France,4442,25
919,2021-07-09,France,4377,16
920,2021-07-10,France,4696,19
921,2021-07-11,France,4256,4
922,2021-07-12,France,617,23
923,2021-07-13,France,6810,50
924,2021-07-14,France,0,0
925,2021-07-15,France,10781,8
926,2021-07-16,France,10908,22
927,2021-07-17,France,10949,16
928,2021-07-18,France,12532,5
929,2021-07-19,France,1690,12
930,2021-07-20,France,17989,29
931,2021-07-21,France,20081,10
932,2021-07-22,France,21909,11
933,2021-07-23,France,19270,28
934,2021-07-24,France,25624,22
935,2021-07-25,France,15242,6
936,2021-07-26,France,2602,36
937,2021-07-27,France,26871,28
938,2021-07-28,France,25037,29
939,2021-07-29,France,25054,22
940,2021-07-30,France,24199,59
941,2021-07-31,France,23471,43
942,2021-08-01,France,19600,18
943,2021-08-02,France,0,0
944,2021-08-03,France,20665,62
945,2021-08-04,France,27436,30
946,2021-08-05,France,26445,49
947,2021-08-06,France,24019,49
948,2021-08-07,France,25755,32
949,2021-08-08,France,20450,28
950,2021-08-09,France,0,0
951,2021-08-10,France,24510,114
952,2021-08-11,France,27512,24
953,2021-08-12,France,28391,76
954,2021-08-13,France,0,0
955,2021-08-14,France,24427,51
956,2021-08-15,France,21172,44
957,2021-08-16,France,5593,14
958,2021-08-17,France,12723,83
959,2021-08-18,France,27631,92
960,2021-08-19,France,23950,127
961,2021-08-20,France,20503,48
962,2021-08-21,France,22636,0
963,2021-08-22,France,17300,0
964,2021-08-23,France,1823,284
965,2021-08-24,France,24445,111
966,2021-08-25,France,20857,58
967,2021-08-26,France,19404,106
968,2021-08-27,France,0,0
969,2021-08-28,France,34151,42
970,2021-08-29,France,13630,53
971,2021-08-30,France,0,0
972,2021-08-31,France,0,130
973,2021-09-01,France,30745,84
974,2021-09-02,France,14153,0
975,2021-09-03,France,12908,28
976,2021-09-04,France,13336,83
977,2021-09-05,France,10410,49
978,2021-09-06,France,2289,117
979,2021-09-07,France,13802,94
980,2021-09-08,France,0,0
981,2021-09-09,France,17590,90
982,2021-09-10,France,9898,94
983,2021-09-11,France,9601,46
984,2021-09-12,France,7679,29
985,2021-09-13,France,1291,67
986,2021-09-14,France,10327,94
987,2021-09-15,France,0,0
988,2021-09-16,France,12814,31
989,2021-09-17,France,6935,87
990,2021-09-18,France,7414,42
991,2021-09-19,France,5814,28
992,2021-09-20,France,0,0
993,2021-09-21,France,6648,104
994,2021-09-22,France,6408,51
995,2021-09-23,France,5835,61
996,2021-09-24,France,5879,53
997,2021-09-25,France,5216,0
998,2021-09-26,France,4706,14
999,2021-09-27,France,642,71
1000,2021-09-28,France,6617,47
1001,2021-09-29,France,4963,36
1002,2021-09-30,France,4848,61
1003,2021-10-01,France,4857,47
1004,2021-10-02,France,4948,30
1005,2021-10-03,France,3744,9
1006,2021-10-04,France,536,43
1007,2021-10-05,France,4384,40
1008,2021-10-06,France,3609,19
1009,2021-10-07,France,4893,33
1010,2021-10-08,France,4160,38
1011,2021-10-09,France,4734,15
1012,2021-10-10,France,3991,8
1013,2021-10-11,France,1120,35
1014,2021-10-12,France,5807,52
1015,2021-10-13,France,0,0
1016,2021-10-14,France,9220,27
1017,2021-10-15,France,5789,34
1018,2021-10-16,France,4899,15
1019,2021-10-17,France,3778,5
1020,2021-10-18,France,1057,46
1021,2021-10-19,France,5095,14
1022,2021-10-20,France,5791,23
1023,2021-10-21,France,6013,37
1024,2021-10-22,France,5611,23
1025,2021-10-23,France,6291,23
1026,2021-10-24,France,5005,4
1027,2021-10-25,France,1283,43
1028,2021-10-26,France,6040,28
1029,2021-10-27,France,6528,33
1030,2021-10-28,France,5899,28
1031,2021-10-29,France,6098,17
1032,2021-10-30,France,7360,22
1033,2021-10-31,France,6329,12
1034,2021-11-01,France,1627,2
1035,2021-11-02,France,2007,87
1036,2021-11-03,France,10050,35
1037,2021-11-04,France,8679,39
1038,2021-11-05,France,8779,24
1039,2021-11-06,France,9605,25
1040,2021-11-07,France,8547,10
1041,2021-11-08,France,1757,42
1042,2021-11-09,France,12039,39
1043,2021-11-10,France,10999,33
1044,2021-11-11,France,12450,13
1045,2021-11-12,France,3761,48
1046,2021-11-13,France,14646,16
1047,2021-11-14,France,12496,17
1048,2021-11-15,France,2978,71
1049,2021-11-16,France,19778,47
1050,2021-11-17,France,20215,56
1051,2021-11-18,France,18908,49
1052,2021-11-19,France,20695,47
1053,2021-11-20,France,22678,23
1054,2021-11-21,France,19749,15
1055,2021-11-22,France,93176,95
1056,2021-11-23,France,30395,83
1057,2021-11-24,France,30396,79
1058,2021-11-25,France,33329,67
1059,2021-11-26,France,34294,60
1060,2021-11-27,France,0,0
1061,2021-11-28,France,68866,57
1062,2021-11-29,France,8051,118
1063,2021-11-30,France,44882,111
1064,2021-12-01,France,49408,91
1065,2021-12-02,France,48370,102
1066,2021-12-03,France,49572,121
1067,2021-12-04,France,51624,49
1068,2021-12-05,France,42252,29
1069,2021-12-06,France,11278,192
1070,2021-12-07,France,56241,164
1071,2021-12-08,France,61176,132
1072,2021-12-09,France,56649,127
1073,2021-12-10,France,0,0
1074,2021-12-11,France,108844,212
1075,2021-12-12,France,43848,48
1076,2021-12-13,France,11465,235
1077,2021-12-14,France,59990,156
1078,2021-12-15,France,65427,147
1079,2021-12-16,France,60556,172
1080,2021-12-17,France,57987,160
1081,2021-12-18,France,58536,85
1082,2021-12-19,France,48473,75
1083,2021-12-20,France,14871,216
1084,2021-12-21,France,72580,227
1085,2021-12-22,France,84094,169
1086,2021-12-23,France,86555,165
1087,2021-12-24,France,94124,167
1088,2021-12-25,France,104611,84
1089,2021-12-26,France,27697,96
1090,2021-12-27,France,29614,245
1091,2021-12-28,France,179316,294
1092,2021-12-29,France,202293,173
1093,2021-12-30,France,206243,180
1094,2021-12-31,France,232200,189
